KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	1.1.1.1
K00003	1	Prochlorococcus	1.1.1.3	K00003,K12524,K12525	K00003,K12524,K12525	1.1.1.3
K00005	1	Prochlorococcus	1.1.1.6	K00005,K22251	K00005,K22251	1.1.1.6
K00012	1	Prochlorococcus	1.1.1.22	K00012	K00012	1.1.1.22
K00013	1	Prochlorococcus	1.1.1.23	K00013,K14152	K00013,K14152	1.1.1.23
K00014	1	Prochlorococcus	1.1.1.25	K00014,K13830,K13832	K00014,K13830,K13832	1.1.1.25
K00031	1	Prochlorococcus	1.1.1.42	K00031	K00031	1.1.1.42
K00033	1	Prochlorococcus	1.1.1.44,1.1.1.343	K00033	K00033	1.1.1.343,1.1.1.44
K00036	1	Prochlorococcus	1.1.1.49,1.1.1.363	K00036	K00036	1.1.1.363,1.1.1.49
K00052	1	Prochlorococcus	1.1.1.85	K00052,K21360	K00052,K21360	1.1.1.85
K00053	1	Prochlorococcus	1.1.1.86	K00053	K00053	1.1.1.86
K00058	1	Prochlorococcus	1.1.1.95,1.1.1.399	K00058,K25634,K00058	K00058,K25634	1.1.1.399,1.1.1.95
K00059	1	Prochlorococcus	1.1.1.100	K00059	K00059	1.1.1.100
K00075	1	Prochlorococcus	1.3.1.98	K00075	K00075	1.3.1.98
K00082	1	Prochlorococcus	1.1.1.193	K00082,K11752	K00082,K11752	1.1.1.193
K00088	1	Prochlorococcus	1.1.1.205	K00088	K00088	1.1.1.205
K00091	1	Prochlorococcus	1.1.1.219	K00091,K13082	K00091,K13082	1.1.1.219
K00097	1	Prochlorococcus	1.1.1.262	K00097	K00097	1.1.1.262
K00099	1	Prochlorococcus	1.1.1.267	K00099	K00099	1.1.1.267
K00116	1	Prochlorococcus	1.1.5.4	K00116	K00116	1.1.5.4
K00121	1	Prochlorococcus	1.1.1.284,1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615,K00121	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	1.1.1.1,1.1.1.284
K00128	1	Prochlorococcus	1.2.1.3	K00128,K00149,K14085,K28615	K00128,K00149,K14085,K28615	1.2.1.3
K00129	1	Prochlorococcus	1.2.1.5	K00129	K00129	1.2.1.5
K00133	1	Prochlorococcus	1.2.1.11	K00133	K00133	1.2.1.11
K00134	1	Prochlorococcus	1.2.1.12	K00134,K10705	K00134,K10705	1.2.1.12
K00145	1	Prochlorococcus	1.2.1.38	K00145,K12659	K00145,K12659	1.2.1.38
K00147	1	Prochlorococcus	1.2.1.41	K00147,K12657	K00147,K12657	1.2.1.41
K00150	1	Prochlorococcus	1.2.1.59	K00150	K00150	1.2.1.59
K00161	1	Prochlorococcus	1.2.4.1	K00161,K00162,K00163	K00161,K00162,K00163	1.2.4.1
K00162	1	Prochlorococcus	1.2.4.1	K00161,K00162,K00163	K00161,K00162,K00163	1.2.4.1
K00208	1	Prochlorococcus	1.3.1.9,1.3.1.10	K00208,K00209,K02371,K00208	K00208,K00209,K02371	1.3.1.10,1.3.1.9
K00215	1	Prochlorococcus	1.17.1.8	K00215	K00215	1.17.1.8
K00218	1	Prochlorococcus	1.3.1.33	K00218	K00218	1.3.1.33
K00228	1	Prochlorococcus	1.3.3.3	K00228	K00228	1.3.3.3
K00254	1	Prochlorococcus	1.3.5.2	K00254	K00254	1.3.5.2
K00273	1	Prochlorococcus	1.4.3.3	K00273	K00273	1.4.3.3
K00275	1	Prochlorococcus	1.4.3.5	K00275,K23998	K00275,K23998	1.4.3.5
K00278	1	Prochlorococcus	1.4.3.16	K00278	K00278	1.4.3.16
K00281	1	Prochlorococcus	1.4.4.2	K00281,K00282,K00283	K00281,K00282,K00283	1.4.4.2
K00284	1	Prochlorococcus	1.4.7.1	K00284	K00284	1.4.7.1
K00286	1	Prochlorococcus	1.5.1.2	K00286	K00286	1.5.1.2
K00297	1	Prochlorococcus	1.5.1.54	K00297,K24042	K00297,K24042	1.5.1.54
K00324	1	Prochlorococcus	7.1.1.1	K00323,K00324,K00325	K00323,K00324,K00325	7.1.1.1
K00325	1	Prochlorococcus	7.1.1.1	K00323,K00324,K00325	K00323,K00324,K00325	7.1.1.1
K00382	1	Prochlorococcus	1.8.1.4	K00382	K00382	1.8.1.4
K00383	1	Prochlorococcus	1.8.1.7	K00383	K00383	1.8.1.7
K00384	1	Prochlorococcus	1.8.1.9	K00384,K22182	K00384,K22182	1.8.1.9
K00390	1	Prochlorococcus	1.8.4.8,1.8.4.10	K00390	K00390	1.8.4.10,1.8.4.8
K00392	1	Prochlorococcus	1.8.7.1	K00392	K00392	1.8.7.1
K00432	1	Prochlorococcus	1.11.1.9	K00432	K00432	1.11.1.9
K00436	1	Prochlorococcus	1.12.1.2	K00436,K18005,K18006,K18007	K00436,K18005,K18006,K18007	1.12.1.2
K00464	1	Prochlorococcus	1.13.11.75	K00464	K00464	1.13.11.75
K00507	1	Prochlorococcus	1.14.19.1	K00507	K00507	1.14.19.1
K00514	1	Prochlorococcus	1.3.5.6	K00514	K00514	1.3.5.6
K00518	1	Prochlorococcus	1.15.1.1	K00518,K04564,K04565,K16627	K00518,K04564,K04565,K16627	1.15.1.1
K00524	1	Prochlorococcus	1.17.4.2	K00524,K00527	K00524,K00527	1.17.4.2
K00537	1	Prochlorococcus	1.20.4.1	K00537,K18065,K22547	K00537,K18065,K22547	1.20.4.1
K00548	1	Prochlorococcus	2.1.1.13	K00548,K24042	K00548,K24042	2.1.1.13
K00554	1	Prochlorococcus	2.1.1.228	K00554,K15429	K00554,K15429	2.1.1.228
K00556	1	Prochlorococcus	2.1.1.34	K00556,K15333	K00556,K15333	2.1.1.34
K00566	1	Prochlorococcus	2.8.1.13	K00566	K00566	2.8.1.13
K00595	1	Prochlorococcus	2.1.1.132,2.1.1.289,2.1.1.196	K00595,K00595,K02191,K00595,K03399	K00595,K02191,K03399	2.1.1.132,2.1.1.196,2.1.1.289
K00600	1	Prochlorococcus	2.1.2.1	K00600	K00600	2.1.2.1
K00602	1	Prochlorococcus	2.1.2.3,3.5.4.10	K00602,K11176,K00602,K01492	K00602,K01492,K11176	2.1.2.3,3.5.4.10
K00604	1	Prochlorococcus	2.1.2.9	K00604	K00604	2.1.2.9
K00605	1	Prochlorococcus	2.1.2.10	K00605	K00605	2.1.2.10
K00606	1	Prochlorococcus	2.1.2.11	K00606	K00606	2.1.2.11
K00609	1	Prochlorococcus	2.1.3.2	K00608,K00609,K11540,K11541	K00608,K00609,K11540,K11541	2.1.3.2
K00611	1	Prochlorococcus	2.1.3.3	K00611	K00611	2.1.3.3
K00612	1	Prochlorococcus			K00612	
K00615	1	Prochlorococcus	2.2.1.1	K00615	K00615	2.2.1.1
K00616	1	Prochlorococcus	2.2.1.2	K00616,K13810	K00616,K13810	2.2.1.2
K00620	1	Prochlorococcus	2.3.1.35,2.3.1.1	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478,K00620	K00618,K00619,K00620,K11067,K14681,K14682,K22476,K22477,K22478	2.3.1.1,2.3.1.35
K00627	1	Prochlorococcus	2.3.1.12	K00627	K00627	2.3.1.12
K00639	1	Prochlorococcus	2.3.1.29	K00639	K00639	2.3.1.29
K00640	1	Prochlorococcus	2.3.1.30	K00640,K19726,K23304	K00640,K19726,K23304	2.3.1.30
K00645	1	Prochlorococcus	2.3.1.39	K00645,K13935	K00645,K13935	2.3.1.39
K00648	1	Prochlorococcus	2.3.1.180	K00648,K18473	K00648,K18473	2.3.1.180
K00651	1	Prochlorococcus	2.3.1.46,2.3.1.31	K00641,K00651,K19726,K00641,K00651	K00641,K00651,K19726	2.3.1.31,2.3.1.46
K00652	1	Prochlorococcus	2.3.1.47	K00652	K00652	2.3.1.47
K00655	1	Prochlorococcus	2.3.1.51	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	K00655,K13509,K13513,K13517,K13519,K13523,K13699,K14674,K15781,K19007,K22831	2.3.1.51
K00677	1	Prochlorococcus	2.3.1.129	K00677	K00677	2.3.1.129
K00688	1	Prochlorococcus	2.4.1.1	K00688,K16153	K00688,K16153	2.4.1.1
K00690	1	Prochlorococcus	2.4.1.7	K00690	K00690	2.4.1.7
K00696	1	Prochlorococcus	2.4.1.14	K00696	K00696	2.4.1.14
K00700	1	Prochlorococcus	2.4.1.18	K00700,K16149	K00700,K16149	2.4.1.18
K00703	1	Prochlorococcus	2.4.1.21	K00703	K00703	2.4.1.21
K00705	1	Prochlorococcus	2.4.1.25	K00705,K01196,K22451	K00705,K01196,K22451	2.4.1.25
K00721	1	Prochlorococcus	2.4.1.83	K00721	K00721	2.4.1.83
K00748	1	Prochlorococcus	2.4.1.182	K00748	K00748	2.4.1.182
K00759	1	Prochlorococcus	2.4.2.7	K00759	K00759	2.4.2.7
K00761	1	Prochlorococcus	2.4.2.9	K00761,K02825	K00761,K02825	2.4.2.9
K00762	1	Prochlorococcus	2.4.2.10	K00762,K13421	K00762,K13421	2.4.2.10
K00764	1	Prochlorococcus	2.4.2.14	K00764	K00764	2.4.2.14
K00765	1	Prochlorococcus	2.4.2.17	K00765	K00765	2.4.2.17
K00766	1	Prochlorococcus	2.4.2.18	K00766,K13497	K00766,K13497	2.4.2.18
K00767	1	Prochlorococcus	2.4.2.19	K00767	K00767	2.4.2.19
K00772	1	Prochlorococcus	2.4.2.28	K00772,K05810	K00772,K05810	2.4.2.28
K00773	1	Prochlorococcus	2.4.2.29	K00773	K00773	2.4.2.29
K00783	1	Prochlorococcus	2.1.1.177	K00783	K00783	2.1.1.177
K00784	1	Prochlorococcus	3.1.26.11	K00784	K00784	3.1.26.11
K00788	1	Prochlorococcus	2.5.1.3	K00788,K14153,K14154,K21219,K21220	K00788,K14153,K14154,K21219,K21220	2.5.1.3
K00789	1	Prochlorococcus	2.5.1.6	K00789	K00789	2.5.1.6
K00790	1	Prochlorococcus	2.5.1.7	K00790	K00790	2.5.1.7
K00791	1	Prochlorococcus	2.5.1.75	K00791	K00791	2.5.1.75
K00793	1	Prochlorococcus	2.5.1.9	K00793	K00793	2.5.1.9
K00794	1	Prochlorococcus	2.5.1.78	K00794	K00794	2.5.1.78
K00797	1	Prochlorococcus	2.5.1.16	K00797,K24034	K00797,K24034	2.5.1.16
K00798	1	Prochlorococcus	2.5.1.17	K00798,K19221	K00798,K19221	2.5.1.17
K00799	1	Prochlorococcus	2.5.1.18	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	K00799,K04097,K13299,K21253,K21264,K21265,K21888,K23790,K25210,K29001	2.5.1.18
K00800	1	Prochlorococcus	2.5.1.19	K00800,K13830,K24018	K00800,K13830,K24018	2.5.1.19
K00806	1	Prochlorococcus	2.5.1.31	K00806	K00806	2.5.1.31
K00812	1	Prochlorococcus	2.6.1.1	K00811,K00812,K00813,K11358,K14454,K14455,K15849	K00811,K00812,K00813,K11358,K14454,K14455,K15849	2.6.1.1
K00817	1	Prochlorococcus	2.6.1.9	K00817	K00817	2.6.1.9
K00820	1	Prochlorococcus	2.6.1.16	K00820	K00820	2.6.1.16
K00822	1	Prochlorococcus	2.6.1.18	K00822	K00822	2.6.1.18
K00826	1	Prochlorococcus	2.6.1.42	K00826	K00826	2.6.1.42
K00830	1	Prochlorococcus	2.6.1.44,2.6.1.45,2.6.1.51	K00830,K13290,K00830,K00827,K00830,K14272	K00827,K00830,K13290,K14272	2.6.1.44,2.6.1.45,2.6.1.51
K00833	1	Prochlorococcus	2.6.1.62	K00833	K00833	2.6.1.62
K00845	1	Prochlorococcus	2.7.1.2	K00845,K12407,K25026	K00845,K12407,K25026	2.7.1.2
K00847	1	Prochlorococcus	2.7.1.4	K00847	K00847	2.7.1.4
K00852	1	Prochlorococcus	2.7.1.15	K00852	K00852	2.7.1.15
K00854	1	Prochlorococcus	2.7.1.17	K00854	K00854	2.7.1.17
K00855	1	Prochlorococcus	2.7.1.19	K00855,K28462	K00855,K28462	2.7.1.19
K00858	1	Prochlorococcus	2.7.1.23	K00858	K00858	2.7.1.23
K00859	1	Prochlorococcus	2.7.1.24	K00859,K02318	K00859,K02318	2.7.1.24
K00860	1	Prochlorococcus	2.7.1.25	K00860,K00955,K13811	K00860,K00955,K13811	2.7.1.25
K00872	1	Prochlorococcus	2.7.1.39	K00872,K02203,K02204	K00872,K02203,K02204	2.7.1.39
K00873	1	Prochlorococcus	2.7.1.40	K00873,K12406	K00873,K12406	2.7.1.40
K00876	1	Prochlorococcus	2.7.1.48	K00876	K00876	2.7.1.48
K00891	1	Prochlorococcus	2.7.1.71	K00891,K13829,K13830	K00891,K13829,K13830	2.7.1.71
K00901	1	Prochlorococcus	2.7.1.107	K00901,K07029	K00901,K07029	2.7.1.107
K00919	1	Prochlorococcus	2.7.1.148	K00919	K00919	2.7.1.148
K00927	1	Prochlorococcus	2.7.2.3	K00927	K00927	2.7.2.3
K00928	1	Prochlorococcus	2.7.2.4	K00928,K12524,K12525,K12526	K00928,K12524,K12525,K12526	2.7.2.4
K00930	1	Prochlorococcus	2.7.2.8	K00930,K12659,K22478	K00930,K12659,K22478	2.7.2.8
K00931	1	Prochlorococcus	2.7.2.11	K00931,K12657	K00931,K12657	2.7.2.11
K00937	1	Prochlorococcus	2.7.4.1	K00937,K27692	K00937,K27692	2.7.4.1
K00939	1	Prochlorococcus	2.7.4.3	K00939,K18532,K18533	K00939,K18532,K18533	2.7.4.3
K00940	1	Prochlorococcus	2.7.4.6	K00940,K18533	K00940,K18533	2.7.4.6
K00941	1	Prochlorococcus	2.7.1.49,2.7.4.7	K00877,K00941,K14153,K21219	K00877,K00941,K14153,K21219	2.7.1.49,2.7.4.7
K00942	1	Prochlorococcus	2.7.4.8	K00942	K00942	2.7.4.8
K00943	1	Prochlorococcus	2.7.4.9	K00943	K00943	2.7.4.9
K00946	1	Prochlorococcus	2.7.4.16	K00946	K00946	2.7.4.16
K00948	1	Prochlorococcus	2.7.6.1	K00948	K00948	2.7.6.1
K00950	1	Prochlorococcus	2.7.6.3	K00950,K07142,K13939,K13940,K13941	K00950,K07142,K13939,K13940,K13941	2.7.6.3
K00951	1	Prochlorococcus	2.7.6.5	K00951,K01139,K07816	K00951,K01139,K07816	2.7.6.5
K00954	1	Prochlorococcus	2.7.7.3	K00954,K02201,K02318	K00954,K02201,K02318	2.7.7.3
K00958	1	Prochlorococcus	2.7.7.4	K00955,K00956,K00957,K00958,K13811	K00955,K00956,K00957,K00958,K13811	2.7.7.4
K00962	1	Prochlorococcus	2.7.7.8	K00962	K00962	2.7.7.8
K00966	1	Prochlorococcus	2.7.7.13	K00966,K00971,K16011,K16881	K00966,K00971,K16011,K16881	2.7.7.13
K00969	1	Prochlorococcus	2.7.7.18	K00969,K06210	K00969,K06210	2.7.7.18
K00970	1	Prochlorococcus	2.7.7.19	K00970,K03514,K11700,K14079,K14376,K18060,K18709,K21315,K23034,K23035	K00970,K03514,K11700,K14079,K14376,K18060,K18709,K21315,K23034,K23035	2.7.7.19
K00971	1	Prochlorococcus	2.7.7.13	K00966,K00971,K16011,K16881	K00966,K00971,K16011,K16881	2.7.7.13
K00974	1	Prochlorococcus	2.7.7.72	K00974,K07558	K00974,K07558	2.7.7.72
K00975	1	Prochlorococcus	2.7.7.27	K00975	K00975	2.7.7.27
