KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K00001	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K00121	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K04072	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K11440	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K13951	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K13952	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K13953	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K13954	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K13980	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K18857	1.1.1.1
K00001	1	Prochlorococcus	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K28615	1.1.1.1
K00003	1	Prochlorococcus	1.1.1.3	K00003,K12524,K12525	K00003	1.1.1.3
K00003	1	Prochlorococcus	1.1.1.3	K00003,K12524,K12525	K12524	1.1.1.3
K00003	1	Prochlorococcus	1.1.1.3	K00003,K12524,K12525	K12525	1.1.1.3
K00005	1	Prochlorococcus	1.1.1.6	K00005,K22251	K00005	1.1.1.6
K00005	1	Prochlorococcus	1.1.1.6	K00005,K22251	K22251	1.1.1.6
K00012	1	Prochlorococcus	1.1.1.22	K00012	K00012	1.1.1.22
K00013	1	Prochlorococcus	1.1.1.23	K00013,K14152	K00013	1.1.1.23
K00013	1	Prochlorococcus	1.1.1.23	K00013,K14152	K14152	1.1.1.23
