KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K00001	1	Synechocystis	1.1.1.1	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	1.1.1.1
K00002	1	Synechocystis	1.1.1.2	K00002,K12957,K13979	K00002,K12957,K13979	1.1.1.2
K00003	1	Synechocystis	1.1.1.3	K00003,K12524,K12525	K00003,K12524,K12525	1.1.1.3
K00005	1	Synechocystis	1.1.1.6	K00005,K22251	K00005,K22251	1.1.1.6
K00012	1	Synechocystis	1.1.1.22	K00012	K00012	1.1.1.22
K00013	1	Synechocystis	1.1.1.23	K00013,K14152	K00013,K14152	1.1.1.23
K00014	1	Synechocystis	1.1.1.25	K00014,K13830,K13832	K00014,K13830,K13832	1.1.1.25
K00020	1	Synechocystis	1.1.1.31	K00020,K23146	K00020,K23146	1.1.1.31
K00023	1	Synechocystis	1.1.1.36	K00023	K00023	1.1.1.36
K00024	1	Synechocystis	1.1.1.37	K00024,K00025,K00026	K00024,K00025,K00026	1.1.1.37
K00027	1	Synechocystis	1.1.1.38	K00027	K00027	1.1.1.38
K00031	1	Synechocystis	1.1.1.42	K00031	K00031	1.1.1.42
K00033	1	Synechocystis	1.1.1.44,1.1.1.343	K00033	K00033	1.1.1.343,1.1.1.44
K00034	1	Synechocystis	1.1.1.47	K00034,K13937,K22969	K00034,K13937,K22969	1.1.1.47
K00036	1	Synechocystis	1.1.1.49,1.1.1.363	K00036	K00036	1.1.1.363,1.1.1.49
K00052	1	Synechocystis	1.1.1.85	K00052,K21360	K00052,K21360	1.1.1.85
K00053	1	Synechocystis	1.1.1.86	K00053	K00053	1.1.1.86
K00057	1	Synechocystis	1.1.1.94	K00057	K00057	1.1.1.94
K00058	1	Synechocystis	1.1.1.95,1.1.1.399	K00058,K25634,K00058	K00058,K25634	1.1.1.399,1.1.1.95
K00059	1	Synechocystis	1.1.1.100	K00059	K00059	1.1.1.100
K00067	1	Synechocystis	1.1.1.133	K00067,K23987	K00067,K23987	1.1.1.133
K00075	1	Synechocystis	1.3.1.98	K00075	K00075	1.3.1.98
K00088	1	Synechocystis	1.1.1.205	K00088	K00088	1.1.1.205
K00091	1	Synechocystis	1.1.1.219	K00091,K13082	K00091,K13082	1.1.1.219
K00097	1	Synechocystis	1.1.1.262	K00097	K00097	1.1.1.262
K00099	1	Synechocystis	1.1.1.267	K00099	K00099	1.1.1.267
K00104	1	Synechocystis	1.1.99.14	K00104,K11472,K11473	K00104,K11472,K11473	1.1.99.14
K00111	1	Synechocystis	1.1.5.3	K00111,K00112	K00111,K00112	1.1.5.3
K00121	1	Synechocystis	1.1.1.284,1.1.1.1	K00121,K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857,K28615	1.1.1.1,1.1.1.284
K00128	1	Synechocystis	1.2.1.3	K00128,K00149,K14085,K28615	K00128,K00149,K14085,K28615	1.2.1.3
K00129	1	Synechocystis	1.2.1.5	K00129	K00129	1.2.1.5
K00133	1	Synechocystis	1.2.1.11	K00133	K00133	1.2.1.11
K00134	1	Synechocystis	1.2.1.12	K00134,K10705	K00134,K10705	1.2.1.12
K00135	1	Synechocystis	1.2.1.16,1.2.1.79,1.2.1.20	K00135,K08324,K00135	K00135,K08324	1.2.1.16,1.2.1.20,1.2.1.79
K00145	1	Synechocystis	1.2.1.38	K00145,K12659	K00145,K12659	1.2.1.38
K00147	1	Synechocystis	1.2.1.41	K00147,K12657	K00147,K12657	1.2.1.41
K00150	1	Synechocystis	1.2.1.59	K00150	K00150	1.2.1.59
K00161	1	Synechocystis	1.2.4.1	K00161,K00162,K00163	K00161,K00162,K00163	1.2.4.1
K00162	1	Synechocystis	1.2.4.1	K00161,K00162,K00163	K00161,K00162,K00163	1.2.4.1
K00208	1	Synechocystis	1.3.1.9,1.3.1.10	K00208,K00208,K00209,K02371	K00208,K00209,K02371	1.3.1.10,1.3.1.9
K00214	1	Synechocystis	1.3.1.24	K00214,K05901	K00214,K05901	1.3.1.24
K00215	1	Synechocystis	1.17.1.8	K00215	K00215	1.17.1.8
K00218	1	Synechocystis	1.3.1.33	K00218	K00218	1.3.1.33
K00226	1	Synechocystis	1.3.98.1	K00226	K00226	1.3.98.1
K00228	1	Synechocystis	1.3.3.3	K00228	K00228	1.3.3.3
K00239	1	Synechocystis	1.3.5.1	K00233,K00234,K00235,K00239,K00240,K00244,K00245,K25995	K00233,K00234,K00235,K00239,K00240,K00244,K00245,K25995	1.3.5.1
