locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHHDGJBG_00001	CDS	738	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
KHHDGJBG_00002	CDS	693	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
KHHDGJBG_00003	CDS	522				hypothetical protein
KHHDGJBG_00004	CDS	702				Ycf53-like protein
KHHDGJBG_00005	CDS	1077				hypothetical protein
KHHDGJBG_00006	CDS	939	fcl_1	1.1.1.271	COG0451	GDP-L-fucose synthase
KHHDGJBG_00007	CDS	1089	gmd_1	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
KHHDGJBG_00008	CDS	1083	psbA2_1	1.10.3.9		Photosystem II protein D1 2
KHHDGJBG_00009	CDS	150				hypothetical protein
KHHDGJBG_00010	CDS	1980	speA_1	4.1.1.19		Biosynthetic arginine decarboxylase
KHHDGJBG_00011	CDS	2010	ligA_1	6.5.1.2		DNA ligase
KHHDGJBG_00012	CDS	582				hypothetical protein
KHHDGJBG_00013	CDS	1011	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
KHHDGJBG_00014	CDS	1050	yfhA		COG0609	putative siderophore transport system permease protein YfhA
KHHDGJBG_00015	CDS	807	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
KHHDGJBG_00016	CDS	948	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
KHHDGJBG_00017	CDS	2541	iutA			Ferric aerobactin receptor
KHHDGJBG_00018	CDS	981	rhaR_1			HTH-type transcriptional activator RhaR
KHHDGJBG_00019	CDS	1284				hypothetical protein
KHHDGJBG_00020	CDS	966				hypothetical protein
KHHDGJBG_00021	CDS	1008	yhfQ		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
KHHDGJBG_00022	CDS	2574	cntO_1		COG1629	Metal-pseudopaline receptor CntO
KHHDGJBG_00023	CDS	1041	rhaR_2			HTH-type transcriptional activator RhaR
KHHDGJBG_00024	CDS	798	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KHHDGJBG_00025	CDS	2487	cntO_2		COG1629	Metal-pseudopaline receptor CntO
KHHDGJBG_00026	CDS	405	tolR_1			Tol-Pal system protein TolR
KHHDGJBG_00027	CDS	633	tolQ_1		COG0811	Tol-Pal system protein TolQ
KHHDGJBG_00028	CDS	1599				hypothetical protein
KHHDGJBG_00029	CDS	1050				hypothetical protein
KHHDGJBG_00030	CDS	1818	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
KHHDGJBG_00031	CDS	957	rhaR_3			HTH-type transcriptional activator RhaR
KHHDGJBG_00032	CDS	2547	cntO_3		COG1629	Metal-pseudopaline receptor CntO
KHHDGJBG_00033	CDS	993	yfiY_2		COG0614	putative siderophore-binding lipoprotein YfiY
KHHDGJBG_00034	CDS	936	yfiY_3		COG0614	putative siderophore-binding lipoprotein YfiY
KHHDGJBG_00035	CDS	375				hypothetical protein
KHHDGJBG_00036	CDS	1842	yheI_1	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
KHHDGJBG_00037	CDS	936				hypothetical protein
KHHDGJBG_00038	CDS	342				hypothetical protein
KHHDGJBG_00039	CDS	231				hypothetical protein
KHHDGJBG_00040	CDS	1200				hypothetical protein
KHHDGJBG_00041	CDS	339				Photosystem II reaction center Psb28 protein
KHHDGJBG_00042	CDS	1650	dinG	3.1.-.-		3'-5' exonuclease DinG
KHHDGJBG_00043	CDS	318				hypothetical protein
KHHDGJBG_00044	CDS	849				IS630 family transposase ISTcSa
KHHDGJBG_00045	CDS	645				hypothetical protein
KHHDGJBG_00046	CDS	1125	hypD		COG0409	Hydrogenase maturation factor HypD
KHHDGJBG_00047	CDS	882	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
KHHDGJBG_00048	CDS	669	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
KHHDGJBG_00049	CDS	1476	glgA_1	2.4.1.21	COG0297	Glycogen synthase
KHHDGJBG_00050	CDS	594	tetC			Transposon Tn10 TetC protein
KHHDGJBG_00051	CDS	675				hypothetical protein
KHHDGJBG_00052	CDS	990	yxlF	3.6.3.-	COG1131	putative ABC transporter ATP-binding protein YxlF
KHHDGJBG_00053	CDS	1758				hypothetical protein
KHHDGJBG_00054	CDS	729	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KHHDGJBG_00055	CDS	522				hypothetical protein
KHHDGJBG_00056	CDS	762	COQ5_3	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KHHDGJBG_00057	CDS	1707				hypothetical protein
KHHDGJBG_00058	CDS	756		2.4.1.187		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
KHHDGJBG_00059	CDS	660				hypothetical protein
KHHDGJBG_00060	CDS	702				hypothetical protein
KHHDGJBG_00061	CDS	378				hypothetical protein
KHHDGJBG_00062	CDS	516				hypothetical protein
KHHDGJBG_00063	CDS	3030				hypothetical protein
KHHDGJBG_00064	CDS	252				hypothetical protein
KHHDGJBG_00065	CDS	288				hypothetical protein
KHHDGJBG_00066	CDS	810	comC			Type 4 prepilin-like proteins leader peptide-processing enzyme
KHHDGJBG_00067	CDS	534	adk_1	2.7.4.3	COG0563	Adenylate kinase
KHHDGJBG_00068	CDS	828	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
KHHDGJBG_00069	CDS	333	trxA_1		COG0526	Thioredoxin
KHHDGJBG_00070	CDS	267				hypothetical protein
KHHDGJBG_00071	CDS	240				hypothetical protein
KHHDGJBG_00072	CDS	2334	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
KHHDGJBG_00073	CDS	753				hypothetical protein
KHHDGJBG_00074	CDS	564	act	3.-.-.-		Methanol dehydrogenase activator
KHHDGJBG_00075	CDS	1563	mdtA			Multidrug resistance protein MdtA
KHHDGJBG_00076	CDS	576	gmk	2.7.4.8	COG0194	Guanylate kinase
KHHDGJBG_00077	CDS	1332	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
KHHDGJBG_00078	CDS	1260	crtX	2.4.1.276		Zeaxanthin glucosyltransferase
KHHDGJBG_00079	CDS	375				hypothetical protein
KHHDGJBG_00080	CDS	645	cpcF	4.-.-.-	COG1413	Phycocyanobilin lyase subunit beta
KHHDGJBG_00081	CDS	1689				hypothetical protein
KHHDGJBG_00082	CDS	792				hypothetical protein
KHHDGJBG_00083	CDS	966	qmcA		COG0330	Protein QmcA
KHHDGJBG_00084	CDS	2025	rne	3.1.26.12		Ribonuclease E
KHHDGJBG_00085	CDS	648	rnhB	3.1.26.4	COG0164	Ribonuclease HII
KHHDGJBG_00086	CDS	411	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
KHHDGJBG_00087	CDS	2157	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
KHHDGJBG_00088	CDS	591	lepB	3.4.21.89	COG0681	Signal peptidase I
KHHDGJBG_00089	CDS	1392		1.1.1.38		NAD-dependent malic enzyme
KHHDGJBG_00090	CDS	978	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
KHHDGJBG_00091	CDS	948	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
KHHDGJBG_00092	CDS	2181				hypothetical protein
KHHDGJBG_00093	CDS	1389				hypothetical protein
KHHDGJBG_00094	CDS	144				hypothetical protein
KHHDGJBG_00095	CDS	90				hypothetical protein
KHHDGJBG_00096	CDS	855	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
KHHDGJBG_00097	CDS	723	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
KHHDGJBG_00098	CDS	1092				hypothetical protein
KHHDGJBG_00099	CDS	333	prlF		COG2002	Antitoxin PrlF
KHHDGJBG_00100	CDS	498	yhaV	3.1.-.-		Ribonuclease toxin YhaV
KHHDGJBG_00101	CDS	975				hypothetical protein
KHHDGJBG_00102	CDS	1329				hypothetical protein
KHHDGJBG_00103	CDS	306				hypothetical protein
KHHDGJBG_00104	CDS	399				hypothetical protein
KHHDGJBG_00105	CDS	1209				hypothetical protein
KHHDGJBG_00106	CDS	1176	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
KHHDGJBG_00107	CDS	468				hypothetical protein
