locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMAGBKIO_00001	CDS	690				hypothetical protein
IMAGBKIO_00002	CDS	189				hypothetical protein
IMAGBKIO_00003	tmRNA	388	ssrA			transfer-messenger RNA, SsrA
IMAGBKIO_00004	CDS	948	atpG_1		COG0224	ATP synthase gamma chain
IMAGBKIO_00005	CDS	1590	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
IMAGBKIO_00006	CDS	552	atpH		COG0712	ATP synthase subunit delta
IMAGBKIO_00007	CDS	564	atpF		COG0711	ATP synthase subunit b
IMAGBKIO_00008	CDS	492	atpG_2		COG0711	ATP synthase subunit b'
IMAGBKIO_00009	CDS	246	atpE		COG0636	ATP synthase subunit c
IMAGBKIO_00010	CDS	756	atpB		COG0356	ATP synthase subunit a
IMAGBKIO_00011	CDS	504				hypothetical protein
IMAGBKIO_00012	CDS	1200				putative protein
IMAGBKIO_00013	CDS	291				hypothetical protein
IMAGBKIO_00014	CDS	429				hypothetical protein
IMAGBKIO_00015	CDS	441			COG3039	IS5 family transposase ISAva7
IMAGBKIO_00016	CDS	384			COG3039	IS5 family transposase ISAva7
IMAGBKIO_00017	CDS	522				hypothetical protein
IMAGBKIO_00018	CDS	396				hypothetical protein
IMAGBKIO_00019	CDS	603				IS630 family transposase ISMae26
IMAGBKIO_00020	CDS	3399	apcE	4.-.-.-		Phycobiliprotein ApcE
IMAGBKIO_00021	CDS	486	apcA1_1			Allophycocyanin subunit alpha 1
IMAGBKIO_00022	CDS	489	apcB			Allophycocyanin subunit beta
IMAGBKIO_00023	CDS	207	apcC			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core
IMAGBKIO_00024	CDS	819				hypothetical protein
IMAGBKIO_00025	CDS	441				hypothetical protein
IMAGBKIO_00026	CDS	222				hypothetical protein
IMAGBKIO_00027	CDS	240				hypothetical protein
IMAGBKIO_00028	CDS	396				hypothetical protein
IMAGBKIO_00029	CDS	3666	tolB_1			Tol-Pal system protein TolB
IMAGBKIO_00030	CDS	1710				hypothetical protein
IMAGBKIO_00031	CDS	1479	glgA_1	2.4.1.21	COG0297	Glycogen synthase
IMAGBKIO_00032	CDS	1416	pchA	5.4.4.2	COG1169	Salicylate biosynthesis isochorismate synthase
IMAGBKIO_00033	CDS	906	menA_1	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
IMAGBKIO_00034	CDS	963	menC	4.2.1.113	COG4948	o-succinylbenzoate synthase
IMAGBKIO_00035	CDS	1452	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
IMAGBKIO_00036	CDS	1356	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
IMAGBKIO_00037	CDS	447				hypothetical protein
IMAGBKIO_00038	CDS	138				hypothetical protein
IMAGBKIO_00039	CDS	1071	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
IMAGBKIO_00040	CDS	876	dehH1	3.8.1.3		Haloacetate dehalogenase H-1
IMAGBKIO_00041	CDS	1593				hypothetical protein
IMAGBKIO_00042	CDS	957				hypothetical protein
IMAGBKIO_00043	CDS	939				hypothetical protein
IMAGBKIO_00044	CDS	210				hypothetical protein
IMAGBKIO_00045	CDS	387				hypothetical protein
IMAGBKIO_00046	CDS	459				hypothetical protein
IMAGBKIO_00047	CDS	285				hypothetical protein
IMAGBKIO_00048	CDS	1596				hypothetical protein
IMAGBKIO_00049	CDS	606				hypothetical protein
IMAGBKIO_00050	CDS	2397	mutS2	3.1.-.-		Endonuclease MutS2
IMAGBKIO_00051	CDS	1002				hypothetical protein
IMAGBKIO_00052	CDS	1164		1.-.-.-	COG0516	putative oxidoreductase/MSMEI_1564
IMAGBKIO_00053	CDS	324	trxA_1			Thioredoxin 1
IMAGBKIO_00054	CDS	1071				hypothetical protein
IMAGBKIO_00055	CDS	1320				hypothetical protein
IMAGBKIO_00056	CDS	1644				hypothetical protein
IMAGBKIO_00057	CDS	363				hypothetical protein
IMAGBKIO_00058	CDS	168				hypothetical protein
IMAGBKIO_00059	CDS	1026	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
IMAGBKIO_00060	CDS	2184	ptk_1	2.7.10.-	COG0489	Tyrosine-protein kinase ptk
IMAGBKIO_00061	CDS	108				hypothetical protein
IMAGBKIO_00062	CDS	288				hypothetical protein
IMAGBKIO_00063	CDS	834	dpnM_1	2.1.1.72		Modification methylase DpnIIA
IMAGBKIO_00064	CDS	207				hypothetical protein
IMAGBKIO_00065	CDS	402	rbfA			Ribosome-binding factor A
IMAGBKIO_00066	CDS	237				hypothetical protein
IMAGBKIO_00067	CDS	351				hypothetical protein
IMAGBKIO_00068	CDS	570	dcd	3.5.4.13	COG0717	dCTP deaminase
IMAGBKIO_00069	CDS	537	btuR	2.5.1.17	COG2109	Corrinoid adenosyltransferase
IMAGBKIO_00070	CDS	555	adk_1	2.7.4.3		Adenylate kinase
IMAGBKIO_00071	CDS	744	rph	2.7.7.56	COG0689	Ribonuclease PH
IMAGBKIO_00072	CDS	813	sodA1	1.15.1.1		Superoxide dismutase [Mn] 1
IMAGBKIO_00073	CDS	588				hypothetical protein
IMAGBKIO_00074	CDS	675	cusR		COG0745	Transcriptional regulatory protein CusR
IMAGBKIO_00075	CDS	792				hypothetical protein
IMAGBKIO_00076	CDS	1017				hypothetical protein
IMAGBKIO_00077	CDS	1476	bamA_1			Outer membrane protein assembly factor BamA
IMAGBKIO_00078	CDS	774				hypothetical protein
IMAGBKIO_00079	CDS	894	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
IMAGBKIO_00080	CDS	558				hypothetical protein
IMAGBKIO_00081	CDS	1236	aes	3.1.1.-		Acetyl esterase
IMAGBKIO_00082	CDS	387	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
IMAGBKIO_00083	CDS	219				hypothetical protein
IMAGBKIO_00084	CDS	1191	ribD_1		COG0117	Riboflavin biosynthesis protein RibD
IMAGBKIO_00085	CDS	414				hypothetical protein
IMAGBKIO_00086	CDS	378				hypothetical protein
IMAGBKIO_00087	CDS	603				hypothetical protein
IMAGBKIO_00088	CDS	822				hypothetical protein
IMAGBKIO_00089	CDS	1008	mreB		COG1077	Cell shape-determining protein MreB
IMAGBKIO_00090	CDS	360	ssb			Single-stranded DNA-binding protein
IMAGBKIO_00091	CDS	747			COG2968	26 kDa periplasmic immunogenic protein
IMAGBKIO_00092	CDS	1458	nhaS3_1			High-affinity Na(+)/H(+) antiporter NhaS3
IMAGBKIO_00093	CDS	1884				hypothetical protein
IMAGBKIO_00094	CDS	1884				hypothetical protein
IMAGBKIO_00095	CDS	879	murI	5.1.1.3	COG0796	Glutamate racemase
IMAGBKIO_00096	CDS	198				hypothetical protein
IMAGBKIO_00097	CDS	171				hypothetical protein
IMAGBKIO_00098	CDS	972	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
IMAGBKIO_00099	CDS	474				hypothetical protein
IMAGBKIO_00100	CDS	1206				hypothetical protein
IMAGBKIO_00101	CDS	177				hypothetical protein
IMAGBKIO_00102	CDS	777				hypothetical protein
IMAGBKIO_00103	CDS	2340				hypothetical protein
IMAGBKIO_00104	CDS	267	remA		COG2052	Extracellular matrix regulatory protein A
IMAGBKIO_00105	CDS	600	gmk	2.7.4.8	COG0194	Guanylate kinase
IMAGBKIO_00106	CDS	519	psaL			Photosystem I reaction center subunit XI
IMAGBKIO_00107	CDS	150	psaJ			Photosystem I reaction center subunit IX
IMAGBKIO_00108	CDS	495	psaF			Photosystem I reaction center subunit III
IMAGBKIO_00109	CDS	1077	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
IMAGBKIO_00110	CDS	915	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
IMAGBKIO_00111	CDS	720				hypothetical protein
IMAGBKIO_00112	CDS	552				hypothetical protein
IMAGBKIO_00113	tRNA	76				tRNA-Pro(tgg)
IMAGBKIO_00114	CDS	825				hypothetical protein
IMAGBKIO_00115	CDS	915	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
IMAGBKIO_00116	CDS	585	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
IMAGBKIO_00117	CDS	918	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
IMAGBKIO_00118	CDS	471				hypothetical protein
IMAGBKIO_00119	CDS	414				hypothetical protein
IMAGBKIO_00120	CDS	978	secF			Protein translocase subunit SecF
IMAGBKIO_00121	CDS	1425	secDF		COG0341	Protein translocase subunit SecDF
IMAGBKIO_00122	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
IMAGBKIO_00123	CDS	627				hypothetical protein
IMAGBKIO_00124	CDS	123				hypothetical protein
IMAGBKIO_00125	CDS	3360				hypothetical protein
IMAGBKIO_00126	CDS	291				hypothetical protein
