locus_tag	ftype	length_bp	gene	EC_number	COG	product
LLGMAHPF_00001	CDS	1158	dnaN		COG0592	Beta sliding clamp
LLGMAHPF_00002	CDS	708				hypothetical protein
LLGMAHPF_00003	CDS	2340	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
LLGMAHPF_00004	CDS	1461	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
LLGMAHPF_00005	CDS	2442	gyrA_1	5.6.2.2		DNA gyrase subunit A
LLGMAHPF_00006	CDS	855				hypothetical protein
LLGMAHPF_00007	CDS	936	queG	1.17.99.6		Epoxyqueuosine reductase
LLGMAHPF_00008	CDS	738				hypothetical protein
LLGMAHPF_00009	CDS	627	nusB			Transcription antitermination protein NusB
LLGMAHPF_00010	CDS	1323	ftsY			Signal recognition particle receptor FtsY
LLGMAHPF_00011	CDS	1344				hypothetical protein
LLGMAHPF_00012	CDS	1380	argH	4.3.2.1	COG0165	Argininosuccinate lyase
LLGMAHPF_00013	CDS	666				hypothetical protein
LLGMAHPF_00014	CDS	1005	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
LLGMAHPF_00015	CDS	450	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
LLGMAHPF_00016	CDS	720	grpE			Protein GrpE
LLGMAHPF_00017	CDS	1125	dnaJ_1		COG0484	Chaperone protein DnaJ
LLGMAHPF_00018	CDS	234				hypothetical protein
LLGMAHPF_00019	CDS	918	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
LLGMAHPF_00020	CDS	351	ybaB		COG0718	Nucleoid-associated protein YbaB
LLGMAHPF_00021	CDS	891	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
LLGMAHPF_00022	CDS	1422	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
LLGMAHPF_00023	CDS	1023	gap2	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
LLGMAHPF_00024	CDS	987	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
LLGMAHPF_00025	CDS	1092				hypothetical protein
LLGMAHPF_00026	CDS	561	efp			Elongation factor P
LLGMAHPF_00027	CDS	507	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
LLGMAHPF_00028	CDS	1041	pdxA2	1.1.1.408	COG1995	D-threonate 4-phosphate dehydrogenase
LLGMAHPF_00029	CDS	888				hypothetical protein
LLGMAHPF_00030	CDS	237				hypothetical protein
LLGMAHPF_00031	CDS	405				hypothetical protein
LLGMAHPF_00032	CDS	420				hypothetical protein
LLGMAHPF_00033	CDS	513				hypothetical protein
LLGMAHPF_00034	CDS	198				hypothetical protein
LLGMAHPF_00035	CDS	1155		1.12.-.-		Soluble hydrogenase 42 kDa subunit
